ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
CH,2020-07-02,0,20,20,2021-02-14
CH,2020-07-03,0,36,36,2021-02-14
CH,2020-07-06,0,120,120,2021-02-14
CH,2020-07-07,0,119,119,2021-02-14
CH,2020-07-08,0,188,188,2021-02-14
CH,2020-07-09,0,156,156,2021-02-14
CH,2020-07-10,0,94,94,2021-02-14
CH,2020-07-11,0,297,297,2021-02-14
CH,2020-07-13,0,144,144,2021-02-14
CH,2020-07-14,0,109,109,2021-02-14
CH,2020-07-15,0,109,109,2021-02-14
CH,2020-07-16,0,72,72,2021-02-14
CH,2020-07-17,0,78,78,2021-02-14
CH,2020-07-18,0,69,69,2021-02-14
CH,2020-07-20,0,16,16,2021-02-14
CH,2020-07-21,0,125,125,2021-02-14
CH,2020-07-22,0,246,246,2021-02-14
CH,2020-07-23,0,132,132,2021-02-14
CH,2020-07-24,0,151,151,2021-02-14
CH,2020-07-25,0,136,136,2021-02-14
CH,2020-07-27,0,40,40,2021-02-14
CH,2020-07-28,0,152,152,2021-02-14
CH,2020-07-29,0,162,162,2021-02-14
CH,2020-07-30,0,251,251,2021-02-14
CH,2020-07-31,0,94,94,2021-02-14
CH,2020-08-01,0,50,50,2021-02-14
CH,2020-08-03,0,73,73,2021-02-14
CH,2020-08-04,0,146,146,2021-02-14
CH,2020-08-05,0,239,239,2021-02-14
CH,2020-08-06,0,62,62,2021-02-14
CH,2020-08-07,0,207,207,2021-02-14
CH,2020-08-08,0,45,45,2021-02-14
CH,2020-08-10,0,97,97,2021-02-14
CH,2020-08-11,0,94,94,2021-02-14
CH,2020-08-12,0,66,66,2021-02-14
CH,2020-08-13,0,152,152,2021-02-14
CH,2020-08-14,0,142,142,2021-02-14
CH,2020-08-17,0,151,151,2021-02-14
CH,2020-08-18,0,205,205,2021-02-14
CH,2020-08-19,0,128,128,2021-02-14
CH,2020-08-20,0,191,191,2021-02-14
CH,2020-08-21,0,194,194,2021-02-14
CH,2020-08-22,0,104,104,2021-02-14
CH,2020-08-24,0,83,83,2021-02-14
CH,2020-08-25,0,375,375,2021-02-14
CH,2020-08-26,0,161,161,2021-02-14
CH,2020-08-27,0,355,355,2021-02-14
CH,2020-08-28,0,365,365,2021-02-14
CH,2020-08-29,0,228,228,2021-02-14
CH,2020-08-31,0,70,70,2021-02-14
CH,2020-09-01,0,168,168,2021-02-14
CH,2020-09-02,0,372,372,2021-02-14
CH,2020-09-03,0,254,254,2021-02-14
CH,2020-09-04,0,354,354,2021-02-14
CH,2020-09-05,0,476,476,2021-02-14
CH,2020-09-07,0,88,88,2021-02-14
CH,2020-09-08,0,237,237,2021-02-14
CH,2020-09-09,0,363,363,2021-02-14
CH,2020-09-10,0,209,209,2021-02-14
CH,2020-09-11,0,202,202,2021-02-14
CH,2020-09-12,0,250,250,2021-02-14
CH,2020-09-14,0,64,64,2021-02-14
CH,2020-09-15,0,374,374,2021-02-14
CH,2020-09-16,0,270,270,2021-02-14
CH,2020-09-17,0,116,116,2021-02-14
CH,2020-09-18,0,147,147,2021-02-14
CH,2020-09-19,0,254,254,2021-02-14
CH,2020-09-21,0,151,151,2021-02-14
CH,2020-09-22,0,380,380,2021-02-14
CH,2020-09-23,0,350,350,2021-02-14
CH,2020-09-24,0,284,284,2021-02-14
CH,2020-09-25,0,113,113,2021-02-14
CH,2020-09-26,0,234,234,2021-02-14
CH,2020-09-28,0,91,91,2021-02-14
CH,2020-09-29,0,559,559,2021-02-14
CH,2020-09-30,0,347,347,2021-02-14
CH,2020-10-01,0,380,380,2021-02-14
CH,2020-10-02,0,356,356,2021-02-14
